index,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II
27-11-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
30-11-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
01-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
02-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
03-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
04-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
07-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
08-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
09-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
10-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
11-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
14-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
15-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
16-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
17-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
18-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
21-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
22-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
23-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
24-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
25-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
28-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
29-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
30-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
